comparative	score	content	engagement
0.050	1	Check out this Amazon deal: Vegetable Gardening for Beginners: A Simple Guide to Growing Vegetables at Home by McSheehy, Jil…	39
0.333	6	Please help me clear my list! Many items are for my classroom and to help our project t…	7
0.143	2	Bellaa 20744 Wind Chimes Gift for Woman Outdoors Home Decor Patio Yard Garden...  via	4
-0.176	-3	Not happy with the service. Inspite of requesting return of an item 4times. Even today the pic…	1
-0.200	-3	Not happy with the service. Inspite of requesting return of an item 4times. Even toda…	1
-0.111	-2	Check out Miss Mary of Sweden Broderie Anglaise Women's Non-Wired Comfort Cotton Bra by Miss Mary of Sweden	39
0.227	5	Well this was nice to wake up to this morning  in the  Kindle chart thank you so much if you’ve already bou…	1
0.083	2	Happy Labor Day! Let’s do a RT  drop! Be sure to follow me, RT this post and RT others as well! I would love…	42
0.150	3	Meet Trevor, 2021 ACCO +  Ambassador. Trevor is a 15 year old two time  warrior who loves to travel and…	4
0.400	2	Health Care Products   via   85	3
0.111	2	Just saw this on Amazon: UV400 Night Vision Glasses Fit Over Prescription Eyewear Wrap Arounds Sunglasses Driving P…	2
0.333	2	Health Care Products   via  16:303694	0
0.100	2	In July 21, Luxembourg's data watch dog issued the European branch of  a fine of roughly  million USD for th…	7
-0.105	-2	I live on the west coast and  delivered my package to New Jersey 😐  How does that even happen?	0
0.250	5	"Isaac Thorne is a master at weaving a great story." —Barbara's 4-star review of my  novel THE GORDON PLACE on	2
-0.167	-1	Please boycott these Fox News sponsors:	46
0.357	5	Jeezo wish I knew, we spend a fortune at Amazon! Now I know  👍 	0
0.071	1	&amp;  gave away free shoes , water bottles , and school supplies to children in need.	23
0.095	2	Hi  👋  🏻  I’m a 3rd grade teacher in Texas at a Title 1 school that caters to mostly economically disadvant…	3
-0.077	-1	Love, Death and Insanity by Mantis Khiralla   for those that don't "get"…	344
0.111	2	Check out this Amazon deal: Nebility Women Waist Trainer Bodysuit Slim Full Body Shapewear Seamless Round Neck Jump…	2
0.200	1	Day 22 asking  to accept	34
-0.053	-1	Its a standard email/telemarketing/coreg bullshit company. That they are promoting stuff like this, with a German c…	0
-0.050	-1	Check out this Amazon deal: MIHOLL Women’s Long Sleeve Tops Lace Casual Loose Blouses T Shirts (Lake Blue, Small) b…	1
0.273	3	twenty39 qarbo Sparkling Water Maker and Fruit Infuser Premium Carbonation ...  via	0
0.136	3	Amazon is the biggest online retailer in the world. Jeff Bezos is worth 179.2 billion USD!  can afford to protect i…	11
0.118	2	Really proud of the  book Gender in Fiction, on which I collaborated. Get the book now at	205
0.333	2	Health Care Products   via  16:205065	0
1.000	5	Beauty and personal care    113	0
-0.182	-2	Don't get me wrong. If the state didn't exist, we'd inve…	0
0.136	3	Just saw this on Amazon: Donnalla Women Sexy Lingerie Set Two Piece Lace Bra and Panty Set Babydoll Sleepwear, Dark Green,…	135
