likes	shares	content	score	comparative	total
0	0	This New Reusable Rocket Ship Can Fly From Earth to Space Several Times a Day…	0	0	0
2	0		0	0	0
0	0	Starlink's internet will be 40% faster than the speed of light on fiber optics: Elon Musk…	0	0	0
9	0	My search was over the day I picked up my first Tesla. I found the car of my dreams. I knew this wa…	1	0.043478260869565216	0.3913043478260869
0	0	I'm pro ElonHave made a lot of money trading	0	0	0
1	0	Tesla can reach  in 4 years if it executes on these 6 key things:	1	0.07142857142857142	0.07142857142857142
1	0	Internal  Startup  Tesla Audio.When you have the best engineers on the planet working for you on audio i…	3	0.15789473684210525	0.15789473684210525
3	0	My best purchase ever was Tesla stock.  Next best purchase ever will be an actual  u…	6	0.375	1.125
0	0	Chainlink in a 'relatively good' position to benefit from upcoming Bitcoin rally…	2	0.16666666666666666	0.16666666666666666
0	2	is a narcissistic sociopath &amp; sanctioned securities fraudster running a stock prom…	-4	-0.3333333333333333	-0.6666666666666666
0	0	They certainly do reflect that.	0	0	0
0	1	2015  said  would be 700bn evaluation in 2025, which  achieved that in 2020 &amp; few days back	0	0	0
1	1	2015  said  would be 700bn evaluation in 2025, which  achieved that in 2020 &amp; few days back…	0	0	0
1	0	You could have written exactly the same about Theranos a few years ago.Very simila…	0	0	0
0	0	should probably change their Twitter name to ‘Just-a-car-company’That would be fun to watch! 😂	5	0.35714285714285715	0.35714285714285715
0	0	Is it possible to get the following:1. Passenger profiles seating2. Reflect the windows being…	0	0	0
2	0	You gotta realize, Tesla is not primarily a car company. They're a carbon credits an…	0	0	0
0	2	It’s happening 🇳🇴👀🌊… first neighbor with Model Y spotted today✌🏻… three colleagues waiting for delivery this month 💚…	0	0	0
0	4	BREAKING:  That being said, if a recent video from Ukraine is any indication, it would appear that Tesla’s approac…	0	0	0
5	0	More of the usual from Musk/Tesla. A lot of these cars are built in a te…	0	0	0
15	2	is a narcissistic sociopath &amp; sanctioned securities fraudster running a st…	-4	-0.36363636363636365	-6.181818181818182
0	0	Looks pretty cool.	2	0.6666666666666666	0.6666666666666666
0	0	pretty cool.	2	1	1
0	18	Elon Says Tesla Stock Can 4x By 2025 (why this matters)	1	0.09090909090909091	1.6363636363636365
0	0	It would be great if there was some kind of Tesla referral code for businesses, like, for example, a barber, if the…	7	0.3181818181818182	0.3181818181818182
0	0	Envy is the sincerest form of recognition	3	0.42857142857142855	0.42857142857142855
0	0	Sorry I understand technology very well and see thru the fraud... why…	-5	-0.4166666666666667	-0.4166666666666667
0	0	follow Dr Burry  short	0	0	0
5	0	2019 FUD in real life next to a Tesla location today.  Desperation/some ingenious advertising/PR…?  🤷‍♀️ Shows lack…	-3	-0.15789473684210525	-0.7894736842105263
0	0	Looking forward to the   robot.... because no one is worki…	-1	-0.1	-0.1
2	0	You are missing what a fantastic and revolutionary car you bought genius…	2	0.16666666666666666	0.3333333333333333
0	1	He is a boring troll paid crumbs by the I…	-5	-0.5	-0.5
0	2	The only thing what history has shown is, how wrong you have been on  and  EVERY SINGLE D…	-2	-0.1111111111111111	-0.2222222222222222
0	1	You are forgetting about Bot, Solar/Energy.  And how about licensing out FSD, what about superchargers li…	0	0	0
0	14	Car dealerships really suck. Trying to sell our final ICE car to get ready for our new Model S and the haggling is really anno…	-3	-0.12	-1.68
0	1	Greg admits that  vehicles are worth more than their selling price.It's strange. Offering a product for less than peopl…	0	0	0
0	2	Go Fund Me for Donna Rein, 69 year old woman killed when a Tesla crashed into her home.	-3	-0.16666666666666666	-0.3333333333333333
0	1	Is that the guy that sold  around	0	0	0
0	1	The Tesla Robovan a van designed for those with disabilities. I also think Tesla could produce it without seats for t…	-2	-0.09523809523809523	-0.09523809523809523
0	1	I was just talking about similar exp Sat night  party. Topic was best vinyl vs digital sound s…	3	0.16666666666666666	0.16666666666666666
0	1	The   Model S  Is The BEST Car In The World!  via  Nice review.…	6	0.42857142857142855	0.42857142857142855
2	1	I was just talking about similar exp Sat night  party. Topic was best vinyl vs digit…	3	0.1875	0.5625
0	2	Winter tires secured!! ❄️✅😍DOPE or NOPE?	2	0.3333333333333333	0.6666666666666666
0	18	Sandy Munro CRUSHES Tesla’s Competition (RIP Ford)     https:/…	-1	-0.1111111111111111	-2
105	2	It’s happening 🇳🇴👀🌊… first neighbor with Model Y spotted today✌🏻… three colleagues waiting for delivery this mo…	0	0	0
61	4	BREAKING:  That being said, if a recent video from Ukraine is any indication, it would appear that Tesla’s app…	0	0	0
0	3	More free financing...  is in the right place at the right time, doing the right thing.	1	0.0625	0.1875
0	0	If  n  was John Wick and  or  are the high table! Filmography below  Chapter…	0	0	0
2	0	true. even  underestimated  valuation 🤣 that’s why i’m more bullish than Elon 💪😎⚡️  &gt;	1	0.07142857142857142	0.14285714285714285
0	1	+3% 📈 It’s been a slow month for  but in the last 2 weeks the stock has gained +10% from the low! 🔥🚘 Will it con…	4	0.15384615384615385	0.15384615384615385
0	1	More importantly to us   so will	0	0	0
0	1	Friendly reminder that  is actually worth  per share following the split less than a ye…	5	0.3333333333333333	0.3333333333333333
