comparative	score	content	engagement
-0.167	-1	Failed w/ big assists from  &amp;	0
-0.308	-4	In a  interview w/  claimed, "If we see harmful misinformation on the platfor…	2
-0.111	-2	allowing pro-Myanmar Military propaganda page to advertise. Their algorithm is super quick to detect foul words we u…	364
0.053	1	India’s  team must desist from acting as political veritable arm of BJP by considerably reducing the reach of FB…	18
0.118	2	My account was hacked and the recovery details were also changed please help to recover my account.	1
0.133	2	Findings of the first  regional study show that despite improved content standards, the platform is…	0
0.286	2	I strongly recommend  andrianhacker2 on Instagram t…	0
0.167	3	I was able to recover my hacked account with the help of  contact him he is highly recommended	1
0.500	2	I strongly recommend  andrianhacke…	0
0.111	2	My account was hacked and the recovery details were also changed please help to recover my account.…	2
0.133	2	Most Liked (Current) Profile Pictures by Female Artists on   — 2.2M2.  — 1.7…	77
-0.238	-5	Hi, what should I do whit this error? My facebook account hacked by someone and giving following error.I really don…	0
-0.263	-5	Hi, what should I do with this error? My facebook account hacked by someone and giving following error. I…	0
1.500	3	please help!	0
0.167	3	Thank you. My Insta is same    😔   😔😔. I can't sign like Facebook. I will ask my friends	0
0.231	3	Thank you. My Insta is same    😔   😔😔. I can't sign like Facebook.	0
0.286	4	I recommend charles_help1 on Instagram he can help you get your account back	1
-0.053	-1	So according  10 million participants study in Nature  is a false information. So make it viral and tell face…	84
0.200	3	I strongly recommend  andrianhacker2 on Instagram to help you recover/unlock/hacked your account immediately	0
0.333	4	I strongly recommend  andrianhacker2 on Instagram to help you recover/unlock/h…	0
0.333	2	I strongly recommend  andrianhacker2 on Instagr…	0
0.286	4	I recommend charles_help1 on Instagram he can help you get your account back	0
0.333	5	I was recommended to some dude  on Instagram he was able to successfully regain a…	1
0.375	3	Dm  ASAP he help me solved my probl…	0
-0.333	-5	or  or  etc. how can they control spread of disinformation, fake news &amp; propaganda campa…	0
0.038	1	Did you know we are not just on Twitter!!! Want to know (or see) more about what we do and who we are? You can fi…	0
-0.263	-5	Hi, what should I do with this error? My facebook account hacked by someone and giving following error. I…	1
-0.050	-1	Join us today as I moderate  panel on targeted advertising and  Is a ban a behavioral advertising likely to be…	2
0.222	4	With support from  we researched ways to make digital spaces safer for users in conflict-affected areas.Talking di…	14
