comparative	score	content	engagement
0.227	5	I love so many of the crypto YouTubers but when the smartest person I know says  might go to  this cycle, that's…	13
0.238	5	Cheers to a great Labor Day Weekend! What will be your first treat onboard: smoked sausage or brews? The Funnel couldn'…	7
0.231	3	Happy Labor Day! RT if you’re joining our funnel on your next fun-cation!	32
-0.357	-5	it’s completely irresponsible for your petri dishes to be cruising during a deadly pandemic.	0
0.143	2	pretty please extend the sale two more days!!!! I still need my honeymoon  😫 	0
0.136	3	I love the fact that I never know if I'll run into  behind the counter at  or maybe I'll see him on…	0
-0.167	-1	If demand IS high enough.…	2
0.188	3	Last sea day on the  Miracle means a proper tea party. Where   and  collide. https:…	1
0.214	3	Last sea day on the  Miracle means a proper tea party. Where   and  collide.	1
-0.111	-2	No thanks. Our last Carnival Cruise was ridiculous and I’m still waiting to hear back from “guest care”!	0
-0.235	-4	leaves paying customers to starve when they refuse to believe their vaccination cards and not let t…	0
-0.389	-7	BOYCOTT  !!!!!!! Worst cruise line on the planet! They should Be sued for the lies they tell and the…	1
-0.150	-3	is the WORST cruise line. Do not book with them ❗ ️My elderly mother is stranded in Miami all because…	0
0.227	5	I love so many of the crypto YouTubers but when the smartest person I know says  might go to  this cycle,…	108
0.200	2	is Muscle Milk included in the cheers package on Vista?	0
0.200	4	Dear  Due to COVID, what is your current sailing capacity on your ships? I would like to sail on ei…	0
-0.167	-3	Stop advertising. You say you require a full vaccine, a negative test within 2 days of boarding AND…	2
-0.250	-1	Stop sailing from Texas	0
-0.167	-2	What’s the point of a vaccine AND a negative test requirement then?	0
0.105	2	to recent constitutional violations by the state of Texas, it would be in the best interest of our natio…	1
0.118	2	to recent constitutional violations by the state of Texas, it would be in the best interest of…	1
-0.188	-3	honestly the worst cruising experience I’ve ever had. Zero response from “guestcare” in the 3 weeks…	0
0.235	4	Oh lol that thing. I honestly want to see how many animals we can board on a…	0
0.400	2	Hire me for advertising  😉 	0
0.111	2	Thanks for NOT refunding my  deposit that I made in April prior to you announcing your new Covi…	0
0.133	2	At the pool, at an all inclusive resort because cruise pools are to small.  😆 	0
-0.071	-1	Not with only 95% vaccinations. 100% and I’m cruising again. Just cancelled two cruises.	0
0.143	2	The  of the white male military dictatorship in  championed by ⁦  ⁦ &amp; patronize…	3
0.167	3	just got back from my Mardi Gras cruise. I'll say that I've seen some great playlist productions! H…	0
0.417	5	What a truly outstanding idea!!!TO: All Cruse Lines, VP of Marketing	46
0.353	6	I wish to publicly thank my room steward Richard for going above and beyond providing excellent ser…	0
-0.050	-1	dropped 4.4% for the biggest decline in the S&amp;P 500, and rival  fell 4.2%, while amo…	0
1.400	7	beautiful Mardi Gras fabulous ship!!	0
-0.100	-2	I will never book with you guys again. 35 days and still no refunds for a cancelled cruise. I will…	0
